Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,22,TOR,70,27,1646,5.5,12.6,0.439,1.1,3.1,0.348,4.4,9.5,0.469,1.6,2.8,0.587,3.1,7,10.1,1.7,0.8,0.8,1.7,3.2,13.7
2,Steven Adams,C,28,MEM,74,73,1953,3.8,7,0.545,0,0,0,3.8,7,0.546,2,3.6,0.548,6.3,7.3,13.7,4.6,1.2,1.1,2.1,2.7,9.6
3,Bam Adebayo,C,24,MIA,55,55,1792,8,14.4,0.557,0,0.1,0,8,14.2,0.561,5,6.6,0.752,2.7,8.5,11.2,3.7,1.6,0.9,3,3.4,21
4,Santi Aldama,PF,21,MEM,30,0,319,4.9,12.3,0.394,0.5,4.6,0.098,4.4,7.7,0.574,1.6,2.7,0.583,2.8,5.3,8.1,1.8,0.3,1.1,1.2,3.6,11.7
5,LaMarcus Aldridge,C,36,BRK,47,12,1050,8.6,15.7,0.55,0.5,1.6,0.304,8.2,14.1,0.578,3.1,3.5,0.873,2.5,6.3,8.8,1.4,0.5,1.6,1.5,2.7,20.8
6,Nickeil Alexander-Walker,SG,23,TOT,64,21,1460,6.2,16.7,0.372,2.6,8.3,0.31,3.6,8.4,0.433,2,2.7,0.743,0.9,3.7,4.6,3.8,1.1,0.6,2.3,2.5,17
7,Grayson Allen,SG,26,MIL,66,61,1805,5.1,11.3,0.448,3.2,7.8,0.409,1.9,3.6,0.533,1.3,1.5,0.865,0.6,3.8,4.4,2,0.9,0.4,0.9,1.9,14.6
8,Jarrett Allen,C,23,CLE,56,56,1809,7.3,10.8,0.677,0,0.2,0.1,7.3,10.6,0.688,3.3,4.6,0.708,3.8,8.2,12,1.8,0.9,1.5,1.9,1.9,18
9,Jose Alvarado,PG,23,NOP,51,1,767,5.5,12.6,0.44,1.5,4.8,0.304,4.1,7.8,0.524,1.5,2.1,0.711,1.1,3.2,4.3,6.5,3.1,0.3,1.6,3.3,14
10,Justin Anderson,SF,28,TOT,16,6,316,4.1,10.8,0.379,1.7,6.7,0.254,2.4,4.1,0.583,1.7,2.2,0.789,0.5,4.8,5.2,3.8,0.9,0.7,0.9,2.5,11.6
11,Kyle Anderson,PF,28,MEM,66,10,1415,5,11.3,0.439,0.8,2.6,0.324,4.1,8.8,0.474,1.6,2.5,0.626,1.7,7.3,9,4.4,1.9,1.1,1.7,2.6,12.4
12,Giannis Antetokounmpo,PF,27,MIL,65,65,2139,11.3,20.3,0.554,1.2,4,0.298,10.1,16.4,0.616,9,12.5,0.72,2.2,10.5,12.7,6.3,1.1,1.5,3.6,3.5,32.7
13,Thanasis Antetokounmpo,SF,29,MIL,46,5,427,4.9,9.4,0.523,0.1,0.9,0.091,4.8,8.4,0.57,1.8,3,0.583,3.4,4.7,8.1,1.7,1.3,0.9,1.8,5.4,11.6
14,Carmelo Anthony,PF,37,LAL,69,3,1793,6.4,14.5,0.441,3,8,0.375,3.4,6.5,0.521,2.7,3.2,0.83,1.2,4.5,5.8,1.4,0.9,1,1.2,3.3,18.5
15,Cole Anthony,PG,21,ORL,65,65,2059,6.2,15.9,0.391,2.3,6.8,0.338,3.9,9.1,0.432,3.8,4.4,0.854,0.6,5.5,6.1,6.5,0.8,0.3,3,3,18.6
16,OG Anunoby,SF,24,TOR,47,47,1703,6.5,14.5,0.445,2.4,6.6,0.369,4,7.9,0.508,1.8,2.5,0.75,1.5,3.9,5.4,2.6,1.5,0.5,1.6,2.8,17.2
17,Ryan Arcidiacono,PG,27,NYK,8,0,40,3.6,5.4,0.667,2.7,3.6,0.75,0.9,1.8,0.5,0,0,,0,3.6,3.6,0.9,0,0,0.9,0,9.9
18,Trevor Ariza,SF,36,LAL,24,11,462,2.6,7.7,0.333,1.6,5.8,0.27,1,1.9,0.52,0.8,1.4,0.556,0.8,5.6,6.4,2.1,1,0.5,0.9,1.6,7.5
19,D.J. Augustin,PG,34,TOT,52,2,822,4,9.2,0.438,2.9,6.7,0.435,1.1,2.5,0.446,1.5,1.7,0.872,0.5,2.4,2.8,4.3,0.7,0,2.4,1.5,12.5
20,Deni Avdija,SF,21,WAS,80,6,1927,4.5,10.4,0.432,1.5,4.7,0.32,3,5.7,0.523,1.9,2.5,0.756,0.9,6.8,7.8,3,1.1,0.8,1.5,3.5,12.4
21,Joel Ayayi,SG,21,WAS,7,0,20,1.8,10.8,0.167,0,1.8,0,1.8,9,0.2,0,0,,1.8,3.6,5.4,7.2,0,0,0,0,3.6
22,Deandre Ayton,C,23,PHO,57,57,1679,9.3,14.6,0.638,0.1,0.4,0.353,9.2,14.2,0.645,2.3,3,0.746,3.1,9.4,12.5,1.7,0.8,0.8,1.9,3,21
23,Udoka Azubuike,C,22,UTA,17,6,195,6.8,9,0.755,0,0,,6.8,9,0.755,1.1,2,0.545,3.3,9.8,13.1,0,0.2,2,2.2,4.6,14.8
24,Marvin Bagley III,PF,22,TOT,48,25,1146,7.1,14,0.504,0.7,3,0.237,6.3,11,0.579,2.1,3.2,0.663,3.3,7.3,10.6,1.1,0.7,0.6,1.2,2.9,17
25,LaMelo Ball,PG,20,CHO,72,72,2329,7.9,18.6,0.426,3.2,8.3,0.38,4.7,10.2,0.464,3.2,3.6,0.869,1.6,5.8,7.4,8.4,1.8,0.5,3.6,3.6,22.2
26,Lonzo Ball,PG,24,CHI,35,35,1212,4.8,11.4,0.423,3.3,7.7,0.423,1.5,3.7,0.423,0.6,0.8,0.75,1,4.6,5.6,5.3,1.9,0.9,2.4,2.5,13.5
27,Mo Bamba,C,23,ORL,69,67,1791,5.8,12.1,0.477,2.1,5.4,0.376,3.7,6.7,0.559,1.1,1.4,0.786,2.9,8.3,11.3,1.6,0.8,2.3,1.5,3.6,14.7
28,Desmond Bane,SF,23,MEM,74,74,2223,8,17.5,0.459,3.6,8.4,0.429,4.5,9.2,0.486,2.2,2.4,0.901,0.7,4.6,5.4,3.3,1.4,0.5,1.8,3,21.9
29,Dalano Banton,SF,22,TOR,64,1,696,4.3,10.4,0.411,0.7,2.6,0.255,3.6,7.8,0.464,1.3,2.3,0.591,2,4.4,6.4,5.1,1.4,0.5,2.7,3.5,10.6
30,Cat Barber,PG,27,ATL,3,0,13,0,11.1,0,0,0,,0,11.1,0,0,11.1,0,2.8,5.5,8.3,8.3,0,0,2.8,2.8,0
31,Harrison Barnes,PF,29,SAC,75,75,2548,5.5,11.7,0.47,2,5,0.395,3.5,6.7,0.527,4.8,5.8,0.83,1.2,4.9,6,2.6,0.7,0.2,1.7,1.3,17.8
32,Scottie Barnes,PF,20,TOR,71,71,2521,6.3,12.9,0.491,0.8,2.7,0.301,5.5,10.2,0.541,2.2,3,0.732,2.7,5,7.7,3.5,1.1,0.8,1.9,2.6,15.7
33,RJ Barrett,SF,21,NYK,69,69,2402,7.2,17.7,0.406,2.1,6.1,0.342,5.1,11.7,0.44,4.3,6,0.716,1,5.1,6.1,3.1,0.6,0.2,2.3,2.1,20.8
34,Will Barton,SG,31,DEN,70,70,2247,6.2,14.2,0.437,2.5,6.8,0.366,3.7,7.4,0.503,1.6,2,0.797,0.7,4.7,5.4,4.4,0.9,0.5,2,1.8,16.5
35,Paris Bass,SF,26,PHO,2,0,7,10.3,30.9,0.333,0,10.3,0,10.3,20.6,0.5,10.3,10.3,1,10.3,10.3,20.6,0,5.1,0,10.3,10.3,30.9
36,Charles Bassey,PF,21,PHI,23,0,168,6.4,10.1,0.638,0,0.9,0,6.4,9.2,0.698,1.9,2.6,0.75,4.7,8.6,13.3,1.5,1.1,3.6,1.7,6.9,14.8
37,Keita Bates-Diop,SF,26,SAS,56,13,897,4.9,9.6,0.517,0.7,2.1,0.327,4.3,7.5,0.57,1.6,2.2,0.732,2.3,6.5,8.7,1.6,1,0.6,1.6,2.4,12.2
38,Nicolas Batum,PF,33,LAC,58,53,1436,4.4,9.6,0.461,2.7,6.7,0.399,1.8,2.9,0.603,0.6,1,0.658,0.7,5.5,6.2,2.4,1.4,1.1,1,2,12.2
39,Kent Bazemore,SF,32,LAL,38,14,531,3.1,9.3,0.328,2,5.4,0.367,1.1,3.9,0.276,0.9,1.2,0.765,0.9,3.7,4.5,2.3,1.7,0.5,1.4,4.6,8.9
40,Darius Bazley,PF,21,OKC,69,53,1924,5.1,12.1,0.422,1.5,5,0.297,3.6,7.1,0.511,2.2,3.2,0.688,1.3,6.8,8.2,1.8,1.1,1.3,1.7,1.3,13.9
41,Bradley Beal,SG,28,WAS,40,40,1439,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14,0.508,4.2,5.1,0.833,1,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2
42,Malik Beasley,SG,25,MIN,77,16,1933,6.1,15.5,0.393,4.4,11.5,0.379,1.7,3.9,0.433,0.9,1.1,0.81,0.5,3.7,4.2,2.1,0.8,0.2,0.8,1.6,17.4
43,Jordan Bell,C,27,CHI,1,0,2,0,0,,0,0,,0,0,,0,0,,18,0,18,0,18,0,0,36,0
44,DeAndre' Bembry,SF,27,TOT,56,20,1026,4.4,7.8,0.561,0.5,1.3,0.417,3.8,6.5,0.589,0.7,1.2,0.6,1.5,4.2,5.7,2.3,1.7,0.9,1.1,4,10
45,Dāvis Bertāns,PF,29,TOT,54,0,772,4.4,12.4,0.353,3.4,10.4,0.327,1,2,0.488,1.7,1.9,0.9,0.5,4.6,5,1.2,0.7,0.5,0.9,3.9,13.8
46,Patrick Beverley,PG,33,MIN,56,52,1433,4.3,10.7,0.407,2.1,5.9,0.347,2.3,4.7,0.481,2.3,3.2,0.724,1.5,4.3,5.9,6.4,1.7,1.3,1.8,4.2,13.1
47,Saddiq Bey,SF,22,DET,80,80,2658,6,15,0.397,2.8,8.1,0.35,3.1,6.9,0.452,2.8,3.4,0.827,1.4,4.5,5.9,3.1,1,0.2,1.3,1.7,17.6
48,Khem Birch,C,29,TOR,52,25,932,3.5,7.2,0.481,0,0.5,0,3.5,6.7,0.517,2,2.7,0.746,4.4,4.3,8.7,2,1,1,1,3.9,9
49,Goga Bitadze,C,22,IND,50,16,729,6.5,12.4,0.52,1.1,4,0.288,5.3,8.5,0.628,3.2,4.6,0.681,3.9,4.8,8.7,2.7,1,2.1,2.3,5.3,17.2
50,Bismack Biyombo,C,29,PHO,35,3,480,6.1,10.4,0.587,0,0,,6.1,10.4,0.587,2.5,5,0.515,4.6,7.3,11.8,1.6,0.9,1.8,1.9,5,14.7
51,Nemanja Bjelica,C,33,GSW,68,0,1088,5,10.9,0.46,1.7,4.8,0.359,3.3,6.1,0.541,1.8,2.5,0.711,1.9,7.4,9.2,4.9,1.2,0.9,2.7,4.1,13.5
52,Eric Bledsoe,PG,32,LAC,54,29,1361,5.2,12.4,0.421,1.3,4.3,0.313,3.9,8.1,0.479,2.4,3.1,0.761,0.7,4.1,4.8,6,1.8,0.5,3.1,2.2,14.1
53,Keljin Blevins,SF,26,POR,28,1,309,3.6,11.3,0.32,2.2,7.2,0.306,1.4,4.1,0.343,0.7,1.3,0.545,1.9,2.9,4.8,2.1,1.3,0.1,1.9,2.9,10.1
54,Bogdan Bogdanović,SG,29,ATL,61,27,1784,6.6,15.4,0.432,3.3,8.9,0.367,3.4,6.5,0.522,1.8,2.1,0.858,0.6,4.2,4.8,3.7,1.3,0.3,1.4,2.6,18.4
